Epoch 1/20, Loss: 0.4319Validation Loss: 0.3276
Epoch 2/20, Loss: 0.3686Validation Loss: 0.4126
Epoch 3/20, Loss: 0.3659Validation Loss: 0.2996
Epoch 4/20, Loss: 0.3412Validation Loss: 0.4271
Epoch 5/20, Loss: 0.3478Validation Loss: 0.3473
Epoch 6/20, Loss: 0.3331Validation Loss: 0.3199
Epoch 7/20, Loss: 0.3403Validation Loss: 0.3048
Epoch 1/50, Loss: 0.4488Validation Loss: 0.4493
Epoch 2/50, Loss: 0.3701Validation Loss: 0.3469
Epoch 3/50, Loss: 0.3582Validation Loss: 0.2679
Epoch 4/50, Loss: 0.3436Validation Loss: 0.3129
Epoch 5/50, Loss: 0.3416Validation Loss: 0.2672
Epoch 6/50, Loss: 0.3379Validation Loss: 0.2867
Epoch 7/50, Loss: 0.3364Validation Loss: 0.2946
Epoch 8/50, Loss: 0.3319Validation Loss: 0.4654
Epoch 9/50, Loss: 0.3309Validation Loss: 0.2348
Epoch 10/50, Loss: 0.3160Validation Loss: 0.2589
Epoch 11/50, Loss: 0.3032Validation Loss: 0.2324
Epoch 12/50, Loss: 0.3040Validation Loss: 0.2625
Epoch 13/50, Loss: 0.3008Validation Loss: 0.2503
Epoch 14/50, Loss: 0.3085Validation Loss: 0.2352
Epoch 15/50, Loss: 0.3014Validation Loss: 0.2032
Epoch 16/50, Loss: 0.2960Validation Loss: 0.2242
Epoch 17/50, Loss: 0.3106Validation Loss: 0.2022
Epoch 18/50, Loss: 0.2976Validation Loss: 0.2022
Epoch 19/50, Loss: 0.3010Validation Loss: 0.2683
Epoch 20/50, Loss: 0.3004Validation Loss: 0.2156
Epoch 21/50, Loss: 0.2986Validation Loss: 0.2241
Epoch 22/50, Loss: 0.2966Validation Loss: 0.2063
Epoch 23/50, Loss: 0.2901Validation Loss: 0.2245
Epoch 24/50, Loss: 0.2989Validation Loss: 0.2143
Epoch 25/50, Loss: 0.2954Validation Loss: 0.2194
Epoch 26/50, Loss: 0.2936Validation Loss: 0.2096
Epoch 27/50, Loss: 0.2898Validation Loss: 0.2088
Epoch 28/50, Loss: 0.2872Validation Loss: 0.2552
Epoch 29/50, Loss: 0.2873Validation Loss: 0.1959
Epoch 30/50, Loss: 0.2836Validation Loss: 0.1968
Epoch 31/50, Loss: 0.2863Validation Loss: 0.1951
Epoch 32/50, Loss: 0.2938Validation Loss: 0.1995
Epoch 33/50, Loss: 0.2815Validation Loss: 0.2246
Epoch 34/50, Loss: 0.2982Validation Loss: 0.2285
Epoch 35/50, Loss: 0.2786Validation Loss: 0.1981
Epoch 36/50, Loss: 0.2940Validation Loss: 0.1903
Epoch 37/50, Loss: 0.2853Validation Loss: 0.1916
Epoch 38/50, Loss: 0.2894Validation Loss: 0.2035
Epoch 39/50, Loss: 0.2867Validation Loss: 0.1993
Epoch 40/50, Loss: 0.2869Validation Loss: 0.1715
Epoch 41/50, Loss: 0.2795Validation Loss: 0.2030
Epoch 42/50, Loss: 0.2919Validation Loss: 0.2112
Epoch 43/50, Loss: 0.2842Validation Loss: 0.2376
Epoch 44/50, Loss: 0.2920Validation Loss: 0.2238
Epoch 45/50, Loss: 0.2898Validation Loss: 0.1942
Epoch 46/50, Loss: 0.2792Validation Loss: 0.1898
Epoch 47/50, Loss: 0.2785Validation Loss: 0.1581
Epoch 48/50, Loss: 0.2826Validation Loss: 0.1959
Epoch 49/50, Loss: 0.2894Validation Loss: 0.1873
Epoch 50/50, Loss: 0.2949Validation Loss: 0.2085
